"Indicator","Market","Destination","Units","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02"
"Visitor arrivals","Pacific Region","Maui Island","persons","84,135","106,919","110,953","135,420","148,149","124,107","90,865","94,983","106,757","105,054","73,632","84,045","94,393","130,940","109,042","134,946","142,615","124,249","103,056","101,787","102,976","105,160","83,581","84,083","100,181","118,638","103,032","126,425","134,462","51,554","38,227","58,234","72,209","83,620","62,030","70,973","81,531","80,245","76,614","104,057","114,266","97,199","76,965","82,666","88,924","96,711","72,338","77,705","87,867","102,082","84,737","107,599","109,018","94,858","78,958","70,625","89,732","103,199","94,226","88,524"
"Visitor arrivals","Mountain Region","Maui Island","persons","35,240","27,096","36,356","38,099","35,417","24,120","23,538","29,351","24,869","27,712","26,431","25,781","34,977","27,511","33,119","33,735","30,500","23,721","25,748","31,730","25,756","29,529","30,410","27,095","41,231","26,010","32,221","32,808","28,937","9,849","10,969","18,444","18,872","23,036","23,481","22,379","29,790","20,058","24,738","25,291","23,798","17,518","19,897","24,246","23,763","26,075","26,703","24,995","37,391","21,768","26,321","29,048","26,236","19,225","26,393","32,949","27,899","25,892","21,846","28,199"
"Visitor arrivals","W.N. Central Region","Maui Island","persons","8,900","4,841","6,685","7,348","8,263","6,535","5,189","6,643","6,275","9,362","13,411","12,030","14,605","6,695","7,920","8,521","8,285","6,697","5,449","6,926","7,877","9,854","15,630","13,443","16,419","7,219","8,001","8,156","8,702","3,132","2,760","4,416","5,537","7,722","13,003","11,288","12,366","5,494","5,691","6,209","6,599","5,229","4,555","5,549","6,574","8,966","12,827","11,584","15,071","5,578","6,521","6,934","6,892","5,525","4,159","5,590","5,781","9,884","11,868","15,501"
"Visitor arrivals","W.S. Central Region","Maui Island","persons","10,610","7,882","15,573","20,673","22,299","12,576","10,685","10,674","10,653","13,264","9,408","8,918","14,174","9,372","18,276","21,350","21,860","14,043","12,681","10,490","11,946","15,678","10,973","10,146","15,897","10,125","18,029","20,944","22,230","6,501","5,747","6,742","7,982","10,757","8,277","7,741","10,705","9,232","13,703","16,168","17,493","10,317","9,073","9,330","9,816","12,261","9,165","8,394","12,429","7,106","13,238","15,038","17,041","10,191","12,237","10,295","5,228","16,287","13,614","9,107"
"Visitor arrivals","E.N. Central Region","Maui Island","persons","14,020","9,341","12,324","15,664","16,546","13,297","10,926","12,330","12,631","19,231","17,327","16,704","20,004","12,639","14,390","19,815","16,885","12,926","12,239","12,984","12,937","19,065","19,863","18,419","22,652","13,592","14,428","18,178","16,646","5,807","5,583","7,512","8,521","14,090","14,157","14,161","16,899","9,916","10,762","13,028","12,668","10,109","9,470","10,777","11,737","17,251","16,852","17,082","20,769","10,819","11,550","13,748","13,023","10,341","9,096","11,604","10,894","15,975","19,328","20,935"
"Visitor arrivals","E.S. Central Region","Maui Island","persons","1,558","1,988","3,871","4,302","3,624","2,150","2,212","2,552","1,842","2,791","2,251","2,221","2,970","2,662","4,663","5,059","3,931","2,481","3,252","3,261","2,699","3,459","3,474","2,917","3,539","2,745","4,775","5,605","4,404","1,066","1,709","1,977","1,721","2,614","2,350","2,064","3,081","3,410","3,728","4,372","3,328","2,054","2,814","3,049","2,595","3,048","2,883","3,173","3,366","2,323","3,821","4,419","3,366","2,115","2,902","3,785","1,585","2,774","4,396","3,088"
"Visitor arrivals","New England Region","Maui Island","persons","1,811","3,306","3,508","4,536","5,841","7,036","3,508","3,867","3,371","4,807","3,871","4,803","3,941","5,718","4,223","4,857","5,312","6,292","3,855","3,934","3,188","4,426","4,253","5,223","3,981","5,310","3,824","4,148","4,553","2,368","1,558","2,024","1,793","2,733","2,751","3,323","2,637","4,025","2,862","3,059","3,172","3,909","2,657","2,533","2,854","4,637","3,816","4,376","3,758","4,950","3,090","3,765","3,505","4,388","2,902","2,653","4,602","4,919","4,505","4,082"
"Visitor arrivals","Mid Atlantic Region","Maui Island","persons","5,013","5,504","9,244","11,373","15,123","19,879","8,361","8,964","7,452","10,757","7,875","8,541","8,294","12,243","10,260","11,827","14,491","19,415","8,867","8,298","7,537","10,251","8,561","9,206","8,739","10,084","9,083","10,201","13,200","6,176","3,444","4,855","4,435","6,419","6,112","6,689","7,287","7,307","7,372","7,356","9,184","12,671","6,090","5,946","6,445","9,990","7,483","8,158","7,436","9,628","7,725","8,159","9,670","12,994","6,852","6,545","10,804","10,040","10,761","7,530"
"Visitor arrivals","S. Atlantic Region","Maui Island","persons","6,461","8,146","13,502","18,099","20,207","15,050","11,198","11,060","9,854","15,178","10,923","10,045","11,661","14,659","18,006","21,684","20,119","15,276","13,565","12,389","10,977","16,731","13,123","11,927","14,606","14,761","17,039","19,619","19,577","7,193","6,745","7,834","7,780","11,595","9,633","8,929","11,840","11,224","14,117","15,316","15,099","11,900","11,476","10,497","11,035","14,891","11,408","11,000","13,398","13,243","14,637","16,428","16,148","12,766","10,921","8,101","10,226","19,133","14,693","11,341"

