"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"All visitors by air","LOS Statewide","days","8.9","8.9","9.2","9.4","9.2","9.1","9.1","9.2","9.2","9.4","9.4","9.4","9.5","9.4","9.3","9.2","9.1","9.0","9.0","9.0","8.8","10.6","9.6","9.3","9.0","8.8"
"Hotel-only visitors","LOS Statewide","days","7.4","7.2","7.5","7.7","7.7","7.3","7.3","7.3","7.2","7.3","7.3","7.4","7.4","7.3","7.2","7.2","7.2","7.2","7.3","7.3","7.1","7.6","7.9","7.7","7.4","7.3"
"First-time visitors","LOS Statewide","days","8.1","7.9","8.4","8.5","8.5","8.2","8.3","8.3","8.4","8.6","8.6","8.5","8.5","8.4","8.3","8.3","8.3","8.2","8.4","8.5","8.2","","8.8","8.7","8.6","8.3"
"Honeymoon visitors","LOS Statewide","days","7.3","7.4","","","","8.0","7.8","7.9","7.9","7.8","7.6","7.7","7.6","7.5","7.5","7.6","7.5","7.5","7.6","7.7","7.7","8.1","9.1","8.8","8.1","8.0"
"All visitors by air","LOS on Oahu","days","6.4","6.6","6.8","7.0","6.9","6.9","6.9","6.9","6.8","7.1","7.3","7.4","7.4","7.3","7.0","6.8","6.8","6.8","6.7","6.9","6.8","8.5","8.1","7.4","7.2","7.0"
"Hotel-only visitors","LOS on Oahu","days","5.6","5.7","5.9","6.2","6.1","5.9","6.0","6.0","5.9","6.1","6.2","6.2","6.4","6.2","6.0","5.9","5.9","5.9","6.0","6.1","6.0","6.5","6.9","6.6","6.5","6.4"
"First-time visitors","LOS on Oahu","days","5.9","5.9","6.3","6.4","6.3","6.2","6.3","6.2","6.2","6.5","6.7","6.7","6.6","6.5","6.3","6.1","6.2","6.2","6.2","6.4","6.3","","7.3","6.8","6.7","6.5"
"Honeymoon visitors","LOS on Oahu","days","5.3","5.3","","","","5.5","5.5","5.5","5.5","5.6","5.6","5.8","5.7","5.8","5.6","5.7","5.6","5.7","5.7","5.8","5.9","6.1","6.3","6.4","6.3","6.2"
"All visitors by air","LOS on Maui","days","6.7","6.8","6.9","7.2","7.3","7.5","7.5","7.4","7.3","7.8","8.0","8.1","8.1","8.1","8.2","8.2","8.2","8.1","8.0","8.1","7.9","9.5","8.7","8.2","8.1","8.0"
"Hotel-only visitors","LOS on Maui","days","5.6","5.4","5.7","5.9","6.3","6.2","6.3","6.3","6.2","6.3","6.4","6.5","5.9","6.3","6.3","6.5","6.5","6.6","6.6","6.7","6.7","7.1","7.4","6.8","6.8","6.7"
"First-time visitors","LOS on Maui","days","5.5","5.5","5.8","5.9","6.3","6.2","6.2","6.1","5.9","6.3","6.4","6.5","6.4","6.3","6.4","6.6","6.6","6.6","6.5","6.7","6.6","","7.4","6.9","6.8","6.5"
"Honeymoon visitors","LOS on Maui","days","5.5","5.7","","","","6.4","6.3","6.3","6.1","6.4","6.5","6.3","6.1","5.9","6.0","6.3","6.3","6.3","6.3","6.6","6.7","7.2","7.6","7.0","6.7","6.8"
"All visitors by air","LOS on Molokai","days","5.0","5.1","4.3","4.6","3.7","4.3","4.2","4.0","4.3","4.4","4.9","4.9","4.6","4.9","4.8","4.6","4.4","4.8","4.8","4.8","4.5","6.9","7.1","5.9","5.5","5.7"
"Hotel-only visitors","LOS on Molokai","days","4.1","4.4","3.8","3.4","2.5","2.6","2.6","2.6","2.7","2.4","2.7","2.7","2.4","2.7","2.5","2.5","2.4","2.6","2.5","2.6","2.4","2.9","3.6","3.2","3.0","3.1"
"First-time visitors","LOS on Molokai","days","3.4","3.7","3.0","3.8","3.1","3.0","2.9","2.8","2.7","2.7","3.1","3.0","3.2","3.3","3.0","3.0","2.8","2.9","3.0","2.8","2.7","","4.7","3.6","3.0","3.0"
"Honeymoon visitors","LOS on Molokai","days","3.8","3.7","","","","2.9","2.5","3.3","3.0","2.9","3.4","3.7","3.2","3.6","3.8","3.3","2.7","2.6","3.3","2.9","3.1","6.7","5.4","4.0","4.1","4.3"
"All visitors by air","LOS on Lanai","days","4.3","4.7","4.7","4.7","3.4","3.3","3.1","3.0","3.2","3.5","3.6","3.6","3.5","3.6","3.5","3.3","2.8","3.5","3.4","3.4","3.2","4.6","4.9","4.1","3.6","3.8"
"Hotel-only visitors","LOS on Lanai","days","4.4","4.8","4.8","4.4","3.5","3.4","3.4","3.6","3.9","3.9","4.1","3.9","3.5","3.7","3.8","3.2","2.4","3.5","3.3","3.6","3.3","4.4","4.9","4.4","3.7","3.9"
"First-time visitors","LOS on Lanai","days","3.7","3.9","3.5","4.4","3.1","2.6","2.5","2.4","2.3","2.7","2.7","2.7","2.6","2.9","2.5","2.6","2.2","2.6","2.4","2.6","2.4","","4.0","3.5","2.4","2.9"
"Honeymoon visitors","LOS on Lanai","days","3.8","3.6","","","","2.7","2.6","2.9","2.8","3.3","3.5","3.3","3.1","3.2","3.3","2.7","1.9","2.4","2.7","2.5","3.2","3.8","4.2","3.4","4.0","3.8"
"All visitors by air","LOS on Kauai","days","6.1","6.1","6.1","6.3","6.7","6.8","6.6","6.3","6.2","7.1","7.4","7.5","7.5","7.5","7.6","7.7","7.6","7.7","7.5","7.5","7.4","8.9","8.6","7.8","7.5","7.4"
"Hotel-only visitors","LOS on Kauai","days","5.0","4.7","4.8","5.0","5.3","5.3","5.4","5.5","5.6","5.7","5.8","6.0","5.2","5.9","5.9","6.0","6.0","6.1","6.2","6.2","6.1","6.5","6.9","6.5","6.5","6.4"
